	text1	text2	text3	text4	text5	text6	text7
Annotator1	Нейронауки	Культура	История	История	Физика	Биология	Культура
Annotator2	Нейронауки	Культура	Биология	История	Физика	Биология	Культура
Annotator3	Нейронауки	История	История	История	Физика	Биология	Культура
Annotator4	Нейронауки	Культура	Биология	История	Физика	Психология	Культура
Annotator5	Нейронауки	Культура	Биология	История	Математика	Биология	Культура
Annotator6	Нейронауки	История	История	Культура	Физика	Биология	Культура
Annotator7	Нейронауки	Философия	Биология	История	Математика	Биология	Философия
Annotator8	Нейронауки	История	Биология	История	Физика	Нейронауки	Культура
Annotator9	Нейронауки	Культура	История	История	Физика	Биология	Культура
Annotator10	Нейронауки	Культура	Биология	История	Физика	Биология	Культура